"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","Euro area (18 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.6",""
"Total","Euro area (18 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.8",""
"Total","Euro area (18 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.0",""
"Total","Euro area (18 countries)","2006","From 15 to 64 years","No response","Percentage","23.7",""
"Total","Euro area (18 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.5",""
"Total","Euro area (18 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.1",""
"Total","Euro area (18 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.7",""
"Total","Euro area (18 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.7",""
"Total","Euro area (18 countries)","2007","From 15 to 64 years","No response","Percentage","24.8",""
"Total","Euro area (18 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.8",""
"Total","Euro area (18 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.7",""
"Total","Euro area (18 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","71.1",""
"Total","Euro area (18 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.1",""
"Total","Euro area (18 countries)","2008","From 15 to 64 years","No response","Percentage","29.2",""
"Total","Euro area (18 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","Euro area (18 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.5",""
"Total","Euro area (18 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.8",""
"Total","Euro area (18 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.1",""
"Total","Euro area (18 countries)","2009","From 15 to 64 years","No response","Percentage","28.0",""
"Total","Euro area (18 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.1",""
"Total","Euro area (18 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.6",""
"Total","Euro area (18 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.4",""
"Total","Euro area (18 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Euro area (18 countries)","2010","From 15 to 64 years","No response","Percentage","23.9",""
"Total","Euro area (18 countries)","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.2",""
"Total","Euro area (18 countries)","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.0",""
"Total","Euro area (18 countries)","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.2",""
"Total","Euro area (18 countries)","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Euro area (18 countries)","2011","From 15 to 64 years","No response","Percentage","11.2",""
"Total","Euro area (18 countries)","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.7",""
"Total","Euro area (18 countries)","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.8",""
"Total","Euro area (18 countries)","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.7",""
"Total","Euro area (18 countries)","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.2",""
"Total","Euro area (18 countries)","2012","From 15 to 64 years","No response","Percentage","10.9",""
"Total","Euro area (18 countries)","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.4",""
"Total","Euro area (18 countries)","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.8",""
"Total","Euro area (18 countries)","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.2",""
"Total","Euro area (18 countries)","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.8",""
"Total","Euro area (18 countries)","2013","From 15 to 64 years","No response","Percentage","13.9",""
"Total","Euro area (18 countries)","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.8",""
"Total","Euro area (18 countries)","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.7","b"
"Total","Euro area (18 countries)","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.4","b"
"Total","Euro area (18 countries)","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.9","b"
"Total","Euro area (18 countries)","2014","From 15 to 64 years","No response","Percentage","30.4","b"
"Total","Euro area (18 countries)","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.4",""
"Total","Euro area (18 countries)","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","44.2",""
"Total","Euro area (18 countries)","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.9",""
"Total","Euro area (18 countries)","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.5",""
"Total","Euro area (18 countries)","2015","From 15 to 64 years","No response","Percentage","29.9",""
"Total","Euro area (17 countries)","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","62.8",""
"Total","Euro area (17 countries)","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.7",""
"Total","Euro area (17 countries)","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.0",""
"Total","Euro area (17 countries)","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.3",""
"Total","Euro area (17 countries)","2004","From 15 to 64 years","No response","Percentage","47.7",""
"Total","Euro area (17 countries)","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","63.6",""
"Total","Euro area (17 countries)","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.0","b"
"Total","Euro area (17 countries)","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","68.7","b"
"Total","Euro area (17 countries)","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.3","b"
"Total","Euro area (17 countries)","2005","From 15 to 64 years","No response","Percentage","19.7","b"
"Total","Euro area (17 countries)","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","Euro area (17 countries)","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.7",""
"Total","Euro area (17 countries)","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.7",""
"Total","Euro area (17 countries)","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.0",""
"Total","Euro area (17 countries)","2006","From 15 to 64 years","No response","Percentage","23.7",""
"Total","Euro area (17 countries)","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.5",""
"Total","Euro area (17 countries)","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.1",""
"Total","Euro area (17 countries)","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.7",""
"Total","Euro area (17 countries)","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.7",""
"Total","Euro area (17 countries)","2007","From 15 to 64 years","No response","Percentage","24.6",""
"Total","Euro area (17 countries)","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.8",""
"Total","Euro area (17 countries)","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.8",""
"Total","Euro area (17 countries)","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","71.1",""
"Total","Euro area (17 countries)","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.0",""
"Total","Euro area (17 countries)","2008","From 15 to 64 years","No response","Percentage","29.2",""
"Total","Euro area (17 countries)","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.5",""
"Total","Euro area (17 countries)","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.6",""
"Total","Euro area (17 countries)","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.8",""
"Total","Euro area (17 countries)","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.1",""
"Total","Euro area (17 countries)","2009","From 15 to 64 years","No response","Percentage","28.0",""
"Total","Euro area (17 countries)","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","64.1",""
"Total","Euro area (17 countries)","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","46.7",""
"Total","Euro area (17 countries)","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","69.4",""
"Total","Euro area (17 countries)","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Euro area (17 countries)","2010","From 15 to 64 years","No response","Percentage","23.9",""
