SEX,GEO,AGE,N_CHILD,AGECHILD,ISCED11,TIME,Value,FlagandFootnotes
Total,Euro area (17 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Euro area (17 countries),From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Euro area (17 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,73.5,
Total,Euro area (17 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,74,b
Total,Euro area (17 countries),From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,74.4,
Total,Euro area (17 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,74.6,
Total,Euro area (17 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,75.7,b
Total,Euro area (17 countries),From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,75.8,
Total,Euro area (17 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,75.4,
Total,Euro area (17 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,74.9,b
Total,Euro area (17 countries),From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,75.8,
Total,Euro area (17 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,72.1,
Total,Euro area (17 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,72.6,b
Total,Euro area (17 countries),From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,73.1,
Total,Euro area (17 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,76.4,
Total,Euro area (17 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,77.1,b
Total,Euro area (17 countries),From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,77.7,
Total,Euro area (17 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,73.1,
Total,Euro area (17 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,74.2,b
Total,Euro area (17 countries),From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,75.4,
Total,Euro area (17 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,78.5,
Total,Euro area (17 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,79.3,b
Total,Euro area (17 countries),From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,79.2,
Total,Euro area (17 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,78.8,
Total,Euro area (17 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,78.7,b
Total,Euro area (17 countries),From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,79.4,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,67.6,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,68.4,b
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,67.6,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,62,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,63,b
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,62,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,72.7,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,73.5,b
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,73.4,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,77.3,
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,76.8,b
Total,Euro area (17 countries),From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,76.3,
Total,Belgium,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,69.3,
Total,Belgium,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,69.4,b
Total,Belgium,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,69.2,
Total,Belgium,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,75.9,
Total,Belgium,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,76.7,b
Total,Belgium,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,75.7,
Total,Belgium,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,81,
Total,Belgium,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,79.3,b
Total,Belgium,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,80,
Total,Belgium,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,78,
Total,Belgium,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,78.1,b
Total,Belgium,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,77.7,
Total,Belgium,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,62,
Total,Belgium,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,62.1,b
Total,Belgium,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,62.1,
Total,Belgium,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Belgium,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Belgium,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Belgium,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Belgium,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Belgium,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Belgium,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Belgium,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Belgium,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Belgium,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,76.4,
Total,Belgium,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,77,b
Total,Belgium,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,76.5,
Total,Belgium,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,77.7,
Total,Belgium,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,80,b
Total,Belgium,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,78.2,
Total,Belgium,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,78.6,
Total,Belgium,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,76.4,b
Total,Belgium,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,77.2,
Total,Belgium,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,74.9,
Total,Belgium,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,75.1,b
Total,Belgium,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,75.1,
Total,Belgium,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,83.1,
Total,Belgium,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,82.2,b
Total,Belgium,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,82.7,
Total,Belgium,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,81.5,
Total,Belgium,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,80.9,b
Total,Belgium,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,80.5,
Total,Belgium,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,84.8,
Total,Belgium,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,83.4,b
Total,Belgium,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,85.9,
Total,Belgium,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,83.8,
Total,Belgium,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,82.8,b
Total,Belgium,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,82.8,
Total,Belgium,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,69.7,
Total,Belgium,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,70.5,b
Total,Belgium,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,68.8,
Total,Belgium,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2013,63.8,
Total,Belgium,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2014,64.4,b
Total,Belgium,From 15 to 64 years,3 children or more,Less than 6 years,All ISCED 2011 levels ,2015,64.1,
Total,Belgium,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2013,76.4,
Total,Belgium,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2014,74.9,b
Total,Belgium,From 15 to 64 years,3 children or more,From 6 to 11 years,All ISCED 2011 levels ,2015,72.3,
Total,Belgium,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2013,75.7,
Total,Belgium,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2014,79.1,b
Total,Belgium,From 15 to 64 years,3 children or more,12 years or over,All ISCED 2011 levels ,2015,76.3,
Total,Bulgaria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2013,64.9,
Total,Bulgaria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2014,66.4,b
Total,Bulgaria,From 15 to 64 years,Total,Total,All ISCED 2011 levels ,2015,68.8,
Total,Bulgaria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2013,61.3,
Total,Bulgaria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2014,64.8,b
Total,Bulgaria,From 15 to 64 years,Total,Less than 6 years,All ISCED 2011 levels ,2015,64.5,
Total,Bulgaria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2013,72.9,
Total,Bulgaria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2014,73.1,b
Total,Bulgaria,From 15 to 64 years,Total,From 6 to 11 years,All ISCED 2011 levels ,2015,72.4,
Total,Bulgaria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2013,76.1,
Total,Bulgaria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2014,77.9,b
Total,Bulgaria,From 15 to 64 years,Total,12 years or over,All ISCED 2011 levels ,2015,79.1,
Total,Bulgaria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2013,61.4,
Total,Bulgaria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2014,62.5,b
Total,Bulgaria,From 15 to 64 years,No children,Total,All ISCED 2011 levels ,2015,66.7,
Total,Bulgaria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2013,:,
Total,Bulgaria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2014,:,
Total,Bulgaria,From 15 to 64 years,No children,Less than 6 years,All ISCED 2011 levels ,2015,:,
Total,Bulgaria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2013,:,
Total,Bulgaria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2014,:,
Total,Bulgaria,From 15 to 64 years,No children,From 6 to 11 years,All ISCED 2011 levels ,2015,:,
Total,Bulgaria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2013,:,
Total,Bulgaria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2014,:,
Total,Bulgaria,From 15 to 64 years,No children,12 years or over,All ISCED 2011 levels ,2015,:,
Total,Bulgaria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2013,72.1,
Total,Bulgaria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2014,74.9,b
Total,Bulgaria,From 15 to 64 years,1 child,Total,All ISCED 2011 levels ,2015,75.3,
Total,Bulgaria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2013,63.8,
Total,Bulgaria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2014,68.8,b
Total,Bulgaria,From 15 to 64 years,1 child,Less than 6 years,All ISCED 2011 levels ,2015,68.7,
Total,Bulgaria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2013,73.6,
Total,Bulgaria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2014,74.7,b
Total,Bulgaria,From 15 to 64 years,1 child,From 6 to 11 years,All ISCED 2011 levels ,2015,76.5,
Total,Bulgaria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2013,76.1,
Total,Bulgaria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2014,78.3,b
Total,Bulgaria,From 15 to 64 years,1 child,12 years or over,All ISCED 2011 levels ,2015,78.8,
Total,Bulgaria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2013,71.6,
Total,Bulgaria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2014,71.2,b
Total,Bulgaria,From 15 to 64 years,2 children,Total,All ISCED 2011 levels ,2015,71.7,
Total,Bulgaria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2013,65.2,
Total,Bulgaria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2014,64.5,b
Total,Bulgaria,From 15 to 64 years,2 children,Less than 6 years,All ISCED 2011 levels ,2015,66.9,
Total,Bulgaria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2013,75.6,
Total,Bulgaria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2014,75.6,b
Total,Bulgaria,From 15 to 64 years,2 children,From 6 to 11 years,All ISCED 2011 levels ,2015,70.8,
Total,Bulgaria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2013,76.7,
Total,Bulgaria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2014,77.9,b
Total,Bulgaria,From 15 to 64 years,2 children,12 years or over,All ISCED 2011 levels ,2015,80.8,
Total,Bulgaria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2013,37.8,
Total,Bulgaria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2014,45.1,b
Total,Bulgaria,From 15 to 64 years,3 children or more,Total,All ISCED 2011 levels ,2015,42.1,
